Name,Power consumption (Wh/km),Battery capacity(kWh),Charging power (kW)
Audi Q4 Sportback e-tron 45 quattro,192,82,11
Audi Q4 Sportback e-tron 50 quattro,192,82,11
Hyundai IONIQ 5 Long Range AWD,192,77.4,11
BMW iX3,192,80,11
Skoda Enyaq iV 80x,193,82,11
Volkswagen ID.4 GTX,193,82,11
Mercedes EQB 250,193,69.7,11
Mercedes EQE SUV 350+,193,100,11
SsangYong Korando e-Motion,193,61.5,6.6
Mercedes EQB 250+,193,73.9,11
Smart #1 Brabus,194,66,22
Toyota bZ4X AWD,194,71.4,6.6
MG Marvel R,194,69.9,11
Genesis GV60 Sport,195,77.4,11
Volvo XC40 Recharge Single Motor ER,195,82,11
Maserati GranTurismo Folgore,195,92.5,22
Nissan Ariya 87kWh,196,91,7.4
Fisker Ocean Ultra,196,100,11
Fisker Ocean Extreme,196,100,11
Fisker Ocean One,196,100,11
Seres 3,196,53.6,6.6
Nissan Ariya 63kWh,197,66,7.4
MG Marvel R Performance,197,69.9,11
Ford Mustang Mach-E SR RWD,197,75.7,11
BMW iX xDrive40,197,76.6,11
Fisker Ocean Sport,197,75,11
Skoda Enyaq iV RS,197,82,11
Volvo C40 Recharge Twin Motor,198,82,11
Mercedes EQB 300 4MATIC,199,69.7,11
Mercedes EQB 350 4MATIC,199,69.7,11
Audi Q4 e-tron 50 quattro,199,82,11
Audi Q4 e-tron 45 quattro,199,82,11
Mercedes EQE SUV 350 4MATIC,199,100,11
Mercedes EQE SUV 500 4MATIC,199,100,11
BMW i7 xDrive60,199,105,11
Subaru Solterra AWD,200,71.4,6.6
XPENG G9 RWD Standard Range,200,78.2,11
XPENG G9 RWD Long Range,200,98,11
Kia EV6 GT,200,77.4,11
Ford Mustang Mach-E ER RWD,200,98.7,11
Tesla Model X Dual Motor,202,100,11
VinFast VF 8 Eco Standard Range,202,84,11
Volvo XC40 Recharge Twin Motor,203,82,11
Genesis GV60 Sport Plus,203,77.4,11
Ford Mustang Mach-E SR AWD,203,75.7,11
Renault Kangoo E-Tech Electric,205,45,11
VinFast VF 8 Plus Standard Range,205,84,11
Lotus Eletre,206,112,22
VinFast VF 8 Eco Extended Range,206,90,11
VinFast VF 8 Plus Extended Range,206,90,11
Lexus RZ 450e,206,71.4,6.6
Ford Mustang Mach-E ER AWD,207,98.7,11
Nissan Ariya e-4ORCE 87kWh,207,91,7.4
NIO EL7 75 kWh,207,75,11
Mercedes EQE SUV AMG 43 4MATIC,208,100,22
BMW iX xDrive50,208,111.5,11
Tesla Model X Plaid,209,100,11
